,mean train accuracy,mean validation accuracy,std accuracy
Radial Svm,0.9473333333333332,0.9393333333333332,0.004422166387140525
Logistic Regression,0.6441666666666667,0.6326666666666666,0.012892719737209133
KNN,0.9508333333333333,0.9206666666666667,0.0024944382578493043
Decision Tree,1.0,0.8140000000000001,0.024890872936792638
Naive Bayes,0.8033333333333333,0.7986666666666666,0.007483314773547894
Random Forest,1.0,0.8626666666666667,0.015260697523012788
XGBoost,1.0,0.9046666666666667,0.00653197264742181
